267	145
267	145
267	148
267	175
267	178
282	199
293	204
309	192
309	166
295	155
275	158
296	192
283	176
288	169
324	153
298	255
329	176
328	175
304	177
322	224
310	238
262	208
226	175
194	149
213	240
250	274
225	296
155	262
145	213
149	183
159	179
589	168
521	163
488	189
478	225
487	264
525	294
560	297
610	282
626	253
633	198
615	158
570	144
511	170
484	232
520	257
548	235
589	281
596	199
574	176
542	188
579	222
596	248
551	268
538	262
533	218
575	194
331	372
327	392
330	414
337	428
358	442
390	449
447	449
480	403
476	353
438	333
384	345
370	409
436	415
450	360
423	351
406	366
397	390
409	408
422	389
436	374
456	391
442	411
402	433
370	430
365	400
382	385
394	376
339	279
389	294
460	261
447	210
412	199
385	276
383	208
396	172
475	161
451	212
402	247
444	262
467	377
487	387
519	334
488	312
450	302
259	380
250	338
300	326
301	356
291	397
305	426
412	271
432	311
387	319
369	326
346	317
300	307
300	277
324	269
382	230
841	231
845	254
845	254
894	264
863	330
837	338
806	337
785	269
804	246
790	218
800	204
830	182
874	189
881	234
870	264
852	305
832	300
830	297
830	282
830	260
816	203
776	155
768	216
762	271
757	329
818	353
870	360
922	334
950	280
935	222
905	182
850	163
796	154
920	304
904	301
883	271
853	286
853	290
797	256
530	230
533	207
542	197
555	218
549	249
536	256
514	253
497	229
261	195
278	207
230	227
223	228
257	205
261	233
261	236
269	231
274	210
277	205
399	383
375	379
351	379
359	391
370	392
370	384
383	397
384	404
397	400
412	368
410	367
